true_code;RA_g;RA_h;PER_1;SDPRO_std;DI_an;DI_ex;DI_ez;DI_hd;DI_w_short;RSD_05;RSD_510;ldmc
SYMCOR;0;1;0;2;0;0;0;0;0;NA;NA;NA
SYMLAN;NA;NA;0;NA;0;0;0;0;0;NA;NA;NA
SYMLAT;0;1;0;NA;0;0;0;0;0;NA;NA;NA
Symphiotrichum.sp.;NA;NA;0;NA;0;0;0;0;0;NA;NA;NA
SYMRAC;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Taraxacum.sp.;0;1;0;2;NA;NA;NA;NA;NA;NA;NA;NA
TAROFF;0;1;0;2;0;0;0;0;0;NA;NA;NA
TAXCAN;0;0;0;0;0;0;0;0;1;0;0;374.449339207048
THADIO;0;1;0;2;0;0;0;0;0;NA;NA;211.785135129228
THENOV;1;0;0;NA;0;1;0;0;0;1;0;192.331460674157
TIACOR;0;1;0;1;0;0;0;0;0;1;1;NA
TILAME;0;0;0;2;0;0;0;0;0;0;0;350.097456497395
TILCOR;NA;NA;0;2;0;0;1;1;0;0;0;224.314720812183
TRIBOR;1;0;0;NA;NA;NA;NA;NA;NA;1;0;NA
TRIERE;1;0;0;1;1;0;1;0;0;1;1;102.324430172321
TRIGRA;1;0;0;0;1;0;0;0;0;1;1;100.028448533092
Trillium.sp.;1;0;0;NA;1;NA;NA;NA;NA;NA;NA;100.534362636207
TRIUND;1;0;0;2;1;0;0;0;0;1;1;NA
TSUCAN;0;0;0;2;0;0;1;0;0;0;0;NA
ULMAME;0;0;0;2;0;0;1;0;0;0;0;321.365317870482
ULMRUB;0;0;0;NA;0;0;1;0;0;NA;NA;389.851024208566
Ulmus.sp.;0;0;0;NA;0;0;1;0;0;0;0;326.434542933512
UVUGRA;1;0;0;0;1;0;0;0;0;1;0;185.200283312628
VALOFF;0;1;0;NA;0;0;0;0;1;1;0;NA
VEROFF;0;0;0;NA;1;0;1;0;0;NA;NA;NA
VERSTR;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
VIBCAS;0;0;0;2;0;0;0;0;0;0;0;NA
VIBLAN;0;0;0;2;0;0;0;0;0;0;0;219.213529873851
VIBLEN;0;0;0;NA;0;0;0;0;0;NA;NA;197.826644755809
VIBX;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;201.661506990536
VIOCAN;0;1;0;1;1;1;0;0;0;NA;NA;134.858745468226
Viola.sp.;0;1;NA;NA;1;1;0;0;0;NA;NA;120.652675388222
VIOMAC;0;1;0;1;1;1;0;0;0;0;0;NA
VIOPUB;0;1;0;1;1;1;0;0;0;0;0;134.594744313264
VIOSOR;0;1;1;1;1;1;0;0;0;0;0;113.787029623699
VITRIP;0;0;0;2;0;0;1;0;0;0;0;163.123113436042
ZANAME;0;0;0;2;0;0;1;0;0;NA;NA;254.744905245501
ZIZAUR;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
