;true_code;espece;genus;id.level
43;CARHIR;Carex hirtifolia;Carex;species
44;CAROVA;Carya ovata;Carya;species
45;CARPLA;Carex plantaginea;Carex;species
46;CARRAD;Carex radiata;Carex;species
47;CAUGIG;Caulophyllum giganteum;Caulophyllum;species
48;Caulophyllum sp.;Caulophyllum sp.;Caulophyllum;genus
49;CAUTHA;Caulophyllum thalictroides;Caulophyllum;species
50;CELOCC;Celtis occidentalis;Celtis;species
51;CELORB;Celastrus orbiculatus;Celastrus;species
52;CEPOCC;Cephalanthus occidentalis;Cephalanthus;species
53;CHEMAJ;Chelidonium majus;Chelidonium;species
54;Circaea sp.;Circaea sp.;Circaea;genus
55;Cirsium sp.;Cirsium sp.;Cirsium;genus
56;CLACAR;Claytonia caroliniana;Claytonia;species
57;CONMAJ;Convallaria majalis;Convallaria;species
58;Convalaria sp.;Convallaria sp.;Convallaria;genus
59;CORALT;Cornus alternifolia;Cornus;species
60;CORCOR;Corylus cornuta;Corylus;species
61;Cornus sp.;Cornus sp.;Cornus;genus
62;Crataegus sp.;Crataegus sp.;Crataegus;genus
63;CYSBUL;Cystopteris bulbifera;Cystopteris;species
64;DENPUN;Dennstaedtia punctilobula;Dennstaedtia;species
65;Dicentra sp.;Dicentra sp.;Dicentra;genus
66;DIRPAL;Dirca palustris;Dirca;species
67;DRYGOL;Dryopteris goldiana;Dryopteris;species
68;DRYMAR;Dryopteris marginalis;Dryopteris;species
69;DRYSPI;Dryopteris carthusiana;Dryopteris;species
70;EPIHEL;Epipactis helleborine;Epipactis;species
71;EPIVIR;Epifagus virginiana;Epifagus;species
72;EQUARV;Equisetum arvense;Equisetum;species
73;ERIANN;Erigeron annuus;Erigeron;species
74;ERYAME;Erythronium americanum;Erythronium;species
75;FAGGRA;Fagus grandifolia;Fagus;species
76;FRAALN;Frangula alnus;Frangula;species
77;FRAAME;Fraxinus americana;Fraxinus;species
78;Fragaria sp.;Fragaria sp.;Fragaria;genus
79;FRANIG;Fraxinus nigra;Fraxinus;species
80;FRAPEN;Fraxinus pennsylvanica;Fraxinus;species
81;FRAVIR;Fragaria virginiana;Fragaria;species
82;Fraxinus sp.;Fraxinus sp.;Fraxinus;genus
83;Galium sp.;Galium sp.;Galium;genus
84;GALTRI;Galium triflorum;Galium;species
85;GEUALE;Geum aleppicum;Geum;species
86;GEUCAN;Geum canadense;Geum;species
87;Geum sp.;Geum sp.;Geum;genus
88;HIESCA;Hieracium scabrum;Hieracium;species
89;HUPLUC;Huperzia lucidula;Huperzia;species
90;HYDVIR;Hydrophyllum virginianum;Hydrophyllum;species
91;HYSPAT;Elymus hystrix;Elymus;species
